"","Species_Pair","dom_species","sub_species","mod_completion","SUB_guild","DOM_guild","guild_pair","Interaction_Estimate","SD","lower","upper","Rhat","Significance","BPV.dom","BPV.sub","Chat.dom","Chat.sub","MCMC_setting","BPV_valid","BPV_valid_conserv","OD_valid","OD_valid_conserv","parameter_valid","direction","preference","support","support_conserv"
"49","SUB-Cuon_alpinus~DOM-Sus_scrofa","Sus_scrofa","Cuon_alpinus","completed","Large_Carnivore","Large_Omnivore","SUB-Large_Carnivore~DOM-Large_Omnivore",0.0504350228380591,0.034671351234834,-0.0198984199245046,0.11703081407552,1.00005625439263,"Non-Significant",0.550033333333333,0.3146,1.02860442338996,0.998525500143014,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","preferred","Unsupported_2","Unsupported_2"
"50","SUB-Cuon_alpinus~DOM-Tapirus_indicus","Tapirus_indicus","Cuon_alpinus","completed","Large_Carnivore","Large_Herbivore","SUB-Large_Carnivore~DOM-Large_Herbivore",-1.5463610345258,1.09357873891252,-4.30101847949497,-0.145010754541901,1.00027288055049,"Significant",0.216933333333333,0.3145,1.02911748179727,1.03197546156316,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_1","Unsupported_3"
"51","SUB-Cuon_alpinus~DOM-Tragulus_genus","Tragulus_genus","Cuon_alpinus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",-0.0312905182413049,0.0611287661198176,-0.167092403552635,0.0696521162535509,1.00007401647514,"Non-Significant",0.4676,0.3174,1.02861911401683,1.00150225931125,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"52","SUB-Cuon_alpinus~DOM-Trichys_fasciculata","Trichys_fasciculata","Cuon_alpinus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.834684623777855,0.396983303464372,-0.0309094402184723,1.55789713241926,1.00073438329406,"Non-Significant",0.3463,0.322733333333333,1.02741551291352,1.01425548608686,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"53","SUB-Cuon_alpinus~DOM-Ursus_thibetanus","Ursus_thibetanus","Cuon_alpinus","completed","Large_Carnivore","Large_Omnivore","SUB-Large_Carnivore~DOM-Large_Omnivore",0.00482340653889016,0.0093465825317539,-0.0139394520891321,0.0244876571135947,1.01114133191655,"Non-Significant",0.0185333333333333,0.318433333333333,1.02836842510494,1.07405783580733,"LONG","No","No","Yes","Yes","Yes","bottom-up","community","Unsupported_3","Unsupported_3"
"54","SUB-Cuon_alpinus~DOM-Viverra_megaspila","Viverra_megaspila","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.0871299116285235,0.208312935356335,-0.376528033493158,0.442813420918992,1.00035051858413,"Non-Significant",0.410633333333333,0.309833333333333,1.02951317407361,1.02707790077619,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"55","SUB-Cuon_alpinus~DOM-Viverra_zibetha","Viverra_zibetha","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.143371166673833,0.0297107928810928,0.0853040676239782,0.201584292529317,1.00005009733594,"Significant",0.397466666666667,0.318766666666667,1.02811698681807,1.00882632554115,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Supported","Supported"
"56","SUB-Cuon_alpinus~DOM-Viverricula_indica","Viverricula_indica","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",0.0992630660756833,0.0924679029378469,-0.0897157180268911,0.273418817087184,0.99996625675959,"Non-Significant",0.2764,0.315333333333333,1.02859047530976,1.06730173234259,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"57","SUB-Diplogale_hosei~DOM-Neofelis_genus","Neofelis_genus","Diplogale_hosei","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",0.489653578221454,0.230477204153586,0.0665539412874306,0.979795612994149,1.00529144529546,"Significant",0.1936,0.428733333333333,1.02186672518478,1.04257541952118,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_3"
"58","SUB-Helarctos_malayanus~DOM-Cuon_alpinus","Cuon_alpinus","Helarctos_malayanus","completed","Large_Omnivore","Large_Carnivore","SUB-Large_Omnivore~DOM-Large_Carnivore",-0.481307768838103,0.0651867761974013,-0.61363984079992,-0.354764709410024,1.02731968793215,"Significant",0.227566666666667,0.174066666666667,1.02384297297588,1.04451843496645,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Supported","Unsupported_3"
