"Species","Guild","Body_mass"
"Chaetura pelagica","Carnivore",0.0236
"Chaetura spinicaudus","Carnivore",0.0157
"Chaetura vauxi","Carnivore",0.0171
"Collocalia affinis","Carnivore",0.0059
"Collocalia dodgei","Carnivore",0.0063
"Collocalia esculenta","Carnivore",0.0063
"Collocalia isonota","Carnivore",0.0059
"Collocalia linchi","Carnivore",0.0059
"Collocalia marginata","Carnivore",0.0059
"Collocalia natalis","Carnivore",0.0059
"Collocalia neglecta","Carnivore",0.0059
"Collocalia sumbawae","Carnivore",0.0059
"Collocalia troglodytes","Carnivore",0.0054
"Collocalia uropygialis","Carnivore",0.0059
"Cypseloides cherriei","Carnivore",0.0221
"Cypseloides cryptus","Carnivore",0.0345
"Cypseloides fumigatus","Carnivore",0.042
"Cypseloides lemosi","Carnivore",0.0281
"Cypseloides niger","Carnivore",0.0397
"Cypseloides rothschildi","Carnivore",0.042
"Cypseloides senex","Carnivore",0.0823
"Cypseloides storeri","Carnivore",0.0395
"Cypsiurus balasiensis","Carnivore",0.0091
"Cypsiurus gracilis","Carnivore",0.0136
"Cypsiurus parvus","Carnivore",0.0136
"Hirundapus caudacutus","Carnivore",0.0955
"Hirundapus celebensis","Carnivore",0.18
"Hirundapus cochinchinensis","Carnivore",0.0838
"Hirundapus giganteus","Carnivore",0.127
"Hydrochous gigas","Carnivore",0.0358
"Mearnsia novaeguineae","Carnivore",0.0326
"Mearnsia picina","Carnivore",0.0425
"Neafrapus boehmi","Carnivore",0.0144
"Neafrapus cassini","Carnivore",0.04
"Panyptila cayennensis","Carnivore",0.0211
"Panyptila sanctihieronymi","Carnivore",0.0481
"Rhaphidura leucopygialis","Carnivore",0.0136
"Rhaphidura sabini","Carnivore",0.016
"Schoutedenapus myoptilus","Carnivore",0.0235
"Streptoprocne biscutata","Carnivore",0.0958
"Streptoprocne phelpsi","Carnivore",0.0218
"Streptoprocne rutila","Carnivore",0.0202
"Streptoprocne semicollaris","Carnivore",0.175
"Streptoprocne zonaris","Carnivore",0.0868
"Tachornis furcata","Carnivore",0.0065
"Tachornis phoenicobia","Carnivore",0.0102
"Tachornis squamata","Carnivore",0.011
"Telacanthura melanopygia","Carnivore",0.052
"Telacanthura ussheri","Carnivore",0.0326
"Zoonavena grandidieri","Carnivore",0.008
"Zoonavena sylvatica","Carnivore",0.016
"Zoonavena thomensis","Carnivore",0.008
"Antrostomus arizonae","Carnivore",0.0533
"Antrostomus badius","Carnivore",0.0598
"Antrostomus carolinensis","Carnivore",0.109
"Antrostomus cubanensis","Carnivore",0.0635
"Antrostomus noctitherus","Carnivore",0.0361
"Antrostomus ridgwayi","Carnivore",0.048
"Antrostomus rufus","Carnivore",0.0942
"Antrostomus salvini","Carnivore",0.056
"Antrostomus saturatus","Carnivore",0.052
"Antrostomus sericocaudatus","Carnivore",0.083
"Antrostomus vociferus","Carnivore",0.0533
"Caprimulgus aegyptius","Carnivore",0.0773
"Caprimulgus affinis","Carnivore",0.0587
"Caprimulgus andamanicus","Carnivore",0.0662
